location,most_liked_dish,no_of_restaurants
Koramangala 5th Block,Pasta,250
Koramangala 5th Block,Pizza,208
Koramangala 5th Block,Burgers,201
Indiranagar,Pasta,174
Koramangala 5th Block,Cocktails,171
Indiranagar,Pizza,168
Ulsoor,Pasta,152
BTM,Paratha,147
Jayanagar,Pasta,147
Indiranagar,Cocktails,146
Koramangala 5th Block,Mocktails,140
Koramangala 5th Block,Burgers,135
Koramangala 6th Block,Burgers,133
Lavelle Road,Cocktails,128
HSR,Pasta,127
JP Nagar,Pasta,126
Koramangala 5th Block,Noodles,122
Koramangala 6th Block,Pizza,121
MG Road,Sandwiches,121
Koramangala 5th Block,Sandwiches,120
Koramangala 6th Block,Pasta,120
Indiranagar,Sandwiches,120
Church Street,Pasta,118
Indiranagar,Hot Chocolate,117
BTM,Chicken Grill,117
JP Nagar,Pizza,115
HSR,Chicken Biryani,114
Indiranagar,Mocktails,113
Koramangala 5th Block,Peri Peri Chicken,112
Lavelle Road,Salads,109
Koramangala 5th Block,Salads,108
Indiranagar,Burgers,107
Koramangala 5th Block,Beer,105
Brigade Road,Pasta,105
Indiranagar,Sandwich,104
Koramangala 4th Block,Pasta,104
MG Road,Cocktails,102
Indiranagar,Nachos,102
JP Nagar,Coffee,100
JP Nagar,Mocktails,100
BTM,Pasta,99
Lavelle Road,Pasta,98
Lavelle Road,Pizza,98
Koramangala 5th Block,Cocktails,98
MG Road,Nachos,97
Koramangala 7th Block,Mocktails,96
Brigade Road,Sandwiches,95
Ulsoor,Burgers,95
HSR,Pizza,95
Brigade Road,Burgers,94
BTM,Roti,93
Church Street,Cocktails,91
Koramangala 4th Block,Mocktails,90
Whitefield,Pasta,90
BTM,Thali,90
Jayanagar,Nachos,90
Church Street,Burgers,89
BTM,Butter Chicken,89
Brigade Road,Cocktails,88
JP Nagar,Cocktails,88
Koramangala 4th Block,Pizza,88
HSR,Paratha,88
Jayanagar,Burgers,87
Indiranagar,Coffee,87
Koramangala 4th Block,Burgers,87
Jayanagar,Coffee,87
HSR,Burgers,86
Jayanagar,Sandwich,85
Koramangala 4th Block,Biryani,85
Koramangala 4th Block,Fish,83
Jayanagar,Biryani,83
Indiranagar,Beer,82
MG Road,Pizza,82
Koramangala 5th Block,Nachos,81
Ulsoor,Cocktails,81
Jayanagar,Fries,80
Residency Road,Cocktails,80
Koramangala 7th Block,Cocktails,79
BTM,Chicken Biryani,79
BTM,Biryani,78
MG Road,Burgers,77
BTM,Burgers,77
Jayanagar,Coffee,76
Koramangala 7th Block,Pasta,75
Ulsoor,Coffee,74
Jayanagar,Mocktails,74
Indiranagar,Cocktails,73
BTM,Biryani,73
Koramangala 5th Block,Waffles,72
MG Road,Beer,72
HSR,Mutton Biryani,71
JP Nagar,Biryani,71
Koramangala 5th Block,Chicken Biryani,71
Koramangala 5th Block,Tiramisu,71
Jayanagar,Tea,71
BTM,Mutton Biryani,71
Sarjapur Road,Mocktails,71
Koramangala 6th Block,Fries,71
JP Nagar,Noodles,70
Koramangala 6th Block,Cocktails,70
HSR,Tea,70
MG Road,Mocktails,70
St. Marks Road,Cocktails,70
Koramangala 5th Block,Fish,69
JP Nagar,Nachos,69
Lavelle Road,Tiramisu,69
HSR,Burgers,69
Brigade Road,Mocktails,69
Whitefield,Cocktails,68
Brigade Road,Fries,68
Koramangala 4th Block,Pizza,68
Koramangala 5th Block,Mojito,67
Koramangala 5th Block,Chicken Momo,67
Koramangala 5th Block,Craft Beer,67
MG Road,Cheesecake,66
BTM,Burgers,66
Richmond Road,Fish,66
JP Nagar,Chicken Biryani,66
Koramangala 5th Block,Tandoori Chicken,66
HSR,Mocktails,66
